SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,DRAFT_YEAR
2015,1626160,J.P.,Tokoto,J.P. Tokoto,SF-SG,77.25,6' 5.25'',78.25,6' 6.25'',195.8,82.0,6' 10'',100.5,8' 4.5'',4.1,8.0,8.75,34.5,40.0,10.97,3.2,3.27,12.0,,,,,,1-5,4-5,1-5,3-5,4-5,3-5,1-5,1-5,2-5,2-5,5-8,4-8,5-8,,,,,28-47,2015
2015,1626167,Myles,Turner,Myles Turner,C-PF,81.75,6' 9.75'',83.5,6' 11.5'',238.6,88.0,7' 4'',112.0,9' 4'',9.3,9.25,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626193,Robert,Upshaw,Robert Upshaw,C,82.75,6' 10.75'',84.0,7' 0'',258.2,89.5,7' 5.5'',113.0,9' 5'',12.5,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626173,Rashad,Vaughn,Rashad Vaughn,SG,75.75,6' 3.75'',77.0,6' 5'',198.6,79.0,6' 7'',101.0,8' 5'',6.2,8.0,8.5,28.0,34.0,11.4,3.1,3.21,5.0,,,,,,3-5,3-5,4-5,2-5,4-5,,,,,,5-6,4-6,8-8,,,,28-40,,2015
2015,1626217,Chris,Walker,Chris Walker,PF,80.75,6' 8.75'',81.25,6' 9.25'',208,86.75,7' 2.75'',108.0,9' 0'',5.1,9.0,9.0,30.5,37.0,11.25,3.41,3.35,6.0,,,,,,3-5,2-5,1-5,3-5,2-5,5-5,2-5,2-5,0-5,1-5,,,,2-8,5-8,5-8,3-14,,2015
2015,1627361,Dez,Wells,Dez Wells,SG,75.0,6' 3'',76.0,6' 4'',208.8,81.5,6' 9.5'',100.5,8' 4.5'',8.1,8.75,9.75,31.5,39.0,10.56,3.05,3.2,15.0,,,,,,3-5,4-5,3-5,3-5,2-5,3-5,0-5,2-5,2-5,2-5,4-8,7-8,4-8,,,,,29-46,2015
2015,1626210,Alan,Williams,Alan Williams,PF,79.25,6' 7.25'',80.25,6' 8.25'',261.4,85.75,7' 1.75'',106.5,8' 10.5'',12.0,8.5,9.5,25.5,28.5,12.26,3.54,3.5,8.0,,,,,,2-5,3-5,2-5,3-5,3-5,0-5,0-5,0-5,0-5,1-5,,,,7-8,3-8,2-8,5-12,,2015
2015,1626159,Justise,Winslow,Justise Winslow,SF,76.5,6' 4.5'',78.5,6' 6.5'',221.8,82.25,6' 10.25'',104.5,8' 8.5'',5.3,8.5,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626174,Christian,Wood,Christian Wood,PF,81.25,6' 9.25'',82.5,6' 10.5'',216,87.25,7' 3.25'',111.5,9' 3.5'',14.7,9.25,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626153,Delon,Wright,Delon Wright,PG,76.25,6' 4.25'',77.5,6' 5.5'',181.4,79.5,6' 7.5'',101.5,8' 5.5'',6.6,8.0,8.5,29.5,31.0,11.16,3.5,3.29,4.0,,,,,,,,,,,,,,,,,,,,,,,,2015
